"","Lost Mound","High Mesa","Big Pot","Bayless Ruin","Twin Hawks","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Schoolhouse Point Mesa Complex","Lovelady Ranch","AZ W:11:7","WS Ranch","Largo Canyon","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 105878","LA 105880","Slade","Greenwood","Danson Pueblo","Hooper Ranch Pueblo","Apache Creek Pueblo","LA 3274","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","Hudson Ranch","LA 83287","LA 85442","3-Up","Babocomari Village","Aztec","Maddox Ranch","Animas River Ruin","Holmes Group","Flora Vista","Red Willow II","Lizard House","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7067","LA 7068","LA 7075","LA 7095","LA 7138","LA 7189","LA 7192","LA 7200","LA 7290","LA 7318","LA 7343","LA 7417","LA 7433","LA 7434","LA 7465","LA 7475","LA 7501","LA 7502","LA 7526","LA 7538","LA 7582","LA 7584","LA 7591","LA 7624","LA 7641","LA 7690","LA 7704","LA 7753","LA 7778","LA 7781","LA 7787","LA 7935","LA 7938","LA 7973","LA 8200","LA 8204","LA 8433","LA 8458","LA 8477","LA 8500","LA 8519","LA 8549","Shannon Bluff-Point","Fruitland Pueblo","Salmon II","LA 12758","West Water","LA 13114","LA 20266","LA 50078","LA 52606","Kello Blancett","LA 60009","LA 60020","Morris' Old Fort","LA 100068","LA 100069","LA 100082","Awat'ovi","Heshoda Yala:wa","Techado Spring","Jaralosa","Horse Camp Mill","Hinkson Ranch","Eagle Crag","Wide Reed Ruin","Hogay Ruin","Kinlichee","Cornfields","Dinwiddie","Lululongturqi","Abangkuyivi","Hubble Corner","Owens-Colvin","Rocky Point","Schoolhouse Point Mound","Roundy Ruin","Bean Patch","Garcia Ranch","Carter Ranch Pueblo","Broken K Pueblo","Hardscrabble Ruin","Houghton Site","Seven Springs","Malpais Spring","Chezhinchotah","Scribe S","Lower Deracho","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","LA 109993","Citadel/Nalakihu","Wupatki","Crack-in-Rock","Many Farms","Lukachukai GH","Antelope House","White House II","Salina Springs II","Boss Ranch","Old Caves","Elden Pueblo","Burned Pueblo","Turkey Hill Pueblo","Ridge Ruin","Tachini Point","Inscription House","Tower House","Batwoman House","Twin Caves Pueblo","Red House","NA 4157","Kinlani","Olla House","Double Wall Ruin","NA 5628","Hummingbird House","NA 8816","NA 8820","NA 8886","NA 8895","Organ Rock","Pueblo Grande","Burnt Corn GH","Pinon Ruin","AZ E:6:1","Ford House","Montezuma Well (E.Rim)","Montezuma Castle A & B","Honanki","Piglet","Zanardelli Site","Gibbon  Springs","Fitzmaurice Ruin","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Curtis Ruin(Buena Vista)","Drip","Twin Towers","North Mesa","Juniper Terrace","Cosnino Caves","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Earven Flat Site","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1301","LZ1302","LZ1305","South Ruin","LZ1307","LZ1310","LA 47515","LA 47562","FSOP13","FSOP15","LA 15623","LA 15667","LA 15669","LA 15671","LA 15673","AZ Q:4:58 (ASM)","Forestdale Pueblo","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","LA 82726","LA 82740","LA 82741","LA 82693","LA 82747","LA 82763","LA 85977","LA 86042"
"Lost Mound","1","0.269","0.441","0.243","0.706","0.756","0.401","0.809","0.69","0.474","0.705","0.671","0.647","0.566","0.778","0.465","0.65","0.647","0.647","0.664","0.205","0.622","0.647","0.809","0.536","0.647","0.647","0.647","0.711","0.647","0.655","0.555","0.679","0.673","0.647","0.647","0.429","0.647","0.668","0.647","0.669","0.666","0.647","0.647","0.409","0.191","0.258","0","0","0.452","0","0","0.008","0","0.01","0.008","0","0.127","0","0","0","0","0","0","0.118","0","0.017","0","0.238","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.378","0.014","0.647","0","0","0.466","0.412","0.647","0.647","0.647","0.022","0.099","0.049","0","0.202","0","0","0","0.572","0.34","0.486","0.736","0.803","0.647","0.584","0.728","0.747","0.647","0.476","0.647","0.006","0","0.132","0.201","0.4","0.647","0.102","0.278","0.375","0.362","0.35","0","0","0","0.184","0.021","0.003","0.081","0","0.299","0","0","0","0.013","0","0.001","0","0","0","0","0.05","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.248","0.191","0.192","0","0.191","0","0.191","0.127","0.195","0.191","0.005","0.147","0.194","0.191","0.034","0.191","0","0","0.191","0.196","0.191","0.191","0","0.003","0.272","0.016","0.007","0","0","0","0.012","0","0.006","0.659","0.397","0.647","0.194","0.191","0.191","0.191","0","0","0.647","0.117","0","0","0.192","0.435","0.276","0.54","0.274","0.519","0.368","0.462","0.647","0.479","0.387","0","0.142","0.598","0.336","0.312","0.455","0.538","0.077","0.422","0.647","0.676","0.191","0.191","0.167","0.219","0.647","0.431","0.448","0.647","0.647","0.647","0.566","0.208","0.221","0.191","0.177","0.252","0.169","0.647","0.13"
"High Mesa","0.269","1","0.703","0.974","0.563","0.078","0.078","0.078","0.081","0.085","0.094","0.078","0.078","0.081","0.086","0.078","0.081","0.078","0.078","0.078","0.043","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.922","0.078","0","0","0.078","0","0","0.008","0","0.01","0.008","0","0.078","0","0","0","0","0","0","0.078","0","0.017","0","0.078","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.078","0.014","0.078","0","0","0.078","0.078","0.078","0.078","0.078","0.022","0.078","0.049","0","0.078","0","0","0","0.078","0.078","0.078","0.083","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.006","0","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0","0","0","0.078","0.021","0.003","0.078","0","0.093","0","0","0","0.013","0","0.001","0","0","0","0","0.05","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.078","0.922","0.923","0","0.922","0","0.922","0.127","0.926","0.922","0.005","0.147","0.925","0.922","0.034","0.922","0","0","0.922","0.922","0.922","0.923","0","0.003","0.078","0.016","0.007","0","0","0","0.002","0","0.006","0.122","0.078","0.078","0.922","0.922","0.923","0.922","0","0","0.078","0.078","0","0","0.924","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0","0.078","0.078","0.078","0.078","0.078","0.078","0.077","0.078","0.078","0.078","0.236","0.922","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078","0.078"
"Big Pot","0.441","0.703","1","0.677","0.735","0.25","0.239","0.25","0.262","0.262","0.271","0.25","0.25","0.262","0.26","0.26","0.258","0.25","0.25","0.25","0.043","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.625","0.25","0.018","0","0.25","0","0","0.008","0","0.01","0.008","0","0.127","0","0","0","0","0","0","0.118","0","0.017","0","0.238","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25","0.014","0.25","0","0","0.25","0.25","0.25","0.25","0.25","0.022","0.099","0.049","0","0.202","0","0","0","0.25","0.303","0.25","0.262","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.006","0","0.132","0.201","0.25","0.25","0.102","0.25","0.25","0.25","0.25","0","0","0","0.184","0.021","0.003","0.081","0","0.266","0","0","0","0.013","0","0.001","0","0","0","0","0.05","0","0","0","0.011","0","0","0","0","0","0","0","0.125","0","0","0","0","0","0","0","0.248","0.628","0.626","0","0.625","0.125","0.625","0.252","0.64","0.625","0.13","0.272","0.628","0.625","0.159","0.629","0.125","0.125","0.625","0.64","0.625","0.627","0.125","0.003","0.235","0.141","0.007","0","0","0","0.002","0","0.006","0.294","0.36","0.25","0.625","0.625","0.626","0.625","0","0","0.25","0.117","0","0","0.627","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0","0.142","0.25","0.25","0.25","0.25","0.25","0.077","0.25","0.25","0.25","0.236","0.625","0.167","0.219","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.208","0.221","0.191","0.177","0.25","0.169","0.25","0.13"
"Bayless Ruin","0.243","0.974","0.677","1","0.537","0.052","0.052","0.052","0.055","0.059","0.069","0.052","0.052","0.055","0.06","0.052","0.055","0.052","0.052","0.052","0.043","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.948","0.052","0","0","0.052","0","0","0.008","0","0.01","0.008","0","0.052","0","0","0","0","0","0","0.052","0","0.017","0","0.052","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.052","0.014","0.052","0","0","0.052","0.052","0.052","0.052","0.052","0.022","0.052","0.049","0","0.052","0","0","0","0.052","0.052","0.052","0.057","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.006","0","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0","0","0","0.052","0.021","0.003","0.052","0","0.068","0","0","0","0.013","0","0.001","0","0","0","0","0.05","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.052","0.948","0.949","0","0.948","0","0.948","0.127","0.952","0.948","0.005","0.147","0.95","0.948","0.034","0.948","0","0","0.948","0.948","0.948","0.948","0","0.003","0.052","0.016","0.007","0","0","0","0.002","0","0.006","0.096","0.052","0.052","0.948","0.948","0.948","0.948","0","0","0.052","0.052","0","0","0.949","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.236","0.948","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052"
"Twin Hawks","0.706","0.563","0.735","0.537","1","0.515","0.239","0.515","0.518","0.312","0.532","0.515","0.515","0.404","0.523","0.303","0.518","0.515","0.515","0.515","0.043","0.504","0.515","0.515","0.398","0.515","0.515","0.515","0.515","0.515","0.515","0.515","0.515","0.515","0.515","0.515","0.429","0.515","0.515","0.515","0.515","0.515","0.515","0.515","0.298","0.485","0.258","0","0","0.452","0","0","0.008","0","0.01","0.008","0","0.127","0","0","0","0","0","0","0.118","0","0.017","0","0.238","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.378","0.014","0.515","0","0","0.466","0.411","0.515","0.515","0.515","0.022","0.099","0.049","0","0.202","0","0","0","0.515","0.178","0.486","0.52","0.515","0.515","0.515","0.515","0.515","0.515","0.458","0.515","0.006","0","0.132","0.201","0.4","0.515","0.102","0.278","0.375","0.362","0.35","0","0","0","0.184","0.021","0.003","0.081","0","0.29","0","0","0","0.013","0","0.001","0","0","0","0","0.05","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.248","0.485","0.486","0","0.485","0","0.485","0.127","0.489","0.485","0.005","0.147","0.487","0.485","0.034","0.485","0","0","0.485","0.485","0.485","0.485","0","0.003","0.11","0.016","0.007","0","0","0","0.002","0","0.006","0.497","0.235","0.515","0.485","0.485","0.485","0.485","0","0","0.515","0.117","0","0","0.486","0.435","0.276","0.515","0.274","0.515","0.368","0.462","0.515","0.479","0.387","0","0.142","0.515","0.336","0.312","0.455","0.515","0.077","0.422","0.515","0.514","0.236","0.485","0.167","0.219","0.515","0.431","0.448","0.515","0.515","0.515","0.515","0.208","0.221","0.191","0.177","0.252","0.169","0.515","0.13"
"AZ U:4:009 (ASM)","0.756","0.078","0.25","0.052","0.515","1","0.357","0.875","0.764","0.456","0.891","0.833","0.874","0.592","0.77","0.421","0.882","0.809","0.809","0.827","0.152","0.613","0.809","0.85","0.507","0.809","0.809","0.809","0.873","0.784","0.655","0.555","0.825","0.835","0.809","0.809","0.429","0.809","0.831","0.809","0.831","0.828","0.809","0.809","0.407","0","0.258","0","0","0.452","0","0","0.008","0","0.01","0.008","0","0.127","0","0","0","0.073","0","0.062","0.118","0","0.017","0","0.238","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0.017","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.378","0.014","0.809","0","0.056","0.466","0.417","0.749","0.809","0.809","0.095","0.105","0.121","0.04","0.275","0","0.073","0","0.572","0.287","0.559","0.759","0.792","0.809","0.584","0.89","0.747","0.697","0.48","0.719","0.079","0.073","0.132","0.201","0.4","0.809","0.102","0.278","0.375","0.362","0.35","0.073","0.073","0.073","0.223","0.021","0.067","0.154","0.073","0.283","0.073","0.073","0","0.086","0.073","0.001","0","0","0","0","0.122","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0.082","0.073","0.073","0.321","0","0.001","0.01","0","0","0","0.007","0.004","0","0.001","0.006","0.003","0","0.007","0","0","0","0","0.005","0","0.001","0","0","0.219","0","0.007","0.073","0.073","0.062","0.085","0","0.078","0.635","0.344","0.786","0.004","0","0.001","0","0","0","0.809","0.117","0","0","0.002","0.435","0.276","0.54","0.274","0.519","0.368","0.462","0.677","0.479","0.387","0","0.142","0.598","0.336","0.312","0.455","0.538","0.077","0.422","0.757","0.626","0","0","0.167","0.219","0.8","0.431","0.448","0.732","0.777","0.745","0.566","0.208","0.221","0.191","0.177","0.252","0.169","0.757","0.13"
"AZ U:8:589 (ASM)","0.401","0.078","0.239","0.052","0.239","0.357","1","0.483","0.518","0.793","0.34","0.269","0.239","0.6","0.567","0.878","0.259","0.28","0.28","0.297","0.38","0.398","0.28","0.447","0.417","0.28","0.28","0.28","0.343","0.28","0.298","0.28","0.312","0.305","0.28","0.272","0.28","0.239","0.301","0.261","0.287","0.298","0.28","0.239","0.391","0","0.28","0.04","0.04","0.252","0.04","0.04","0.008","0","0.01","0.033","0.011","0.167","0","0.023","0","0.015","0","0","0.158","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.04","0","0","0","0.021","0","0","0.04","0.034","0","0","0","0.04","0","0","0","0.04","0.021","0.059","0.04","0.057","0","0.029","0","0.009","0.04","0","0","0.002","0","0.04","0.008","0.04","0.04","0.263","0.055","0.239","0","0","0.28","0.28","0.28","0.28","0.28","0.063","0.139","0.089","0.04","0.242","0","0","0","0.28","0.477","0.28","0.58","0.544","0.28","0.28","0.361","0.38","0.28","0.298","0.28","0.046","0","0.172","0.242","0.28","0.28","0.142","0.28","0.28","0.28","0.28","0","0.003","0","0.184","0.041","0.043","0.121","0.022","0.288","0","0.028","0","0.044","0","0.002","0","0","0","0","0.09","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0.026","0","0","0.239","0","0.001","0.001","0","0","0","0","0.004","0","0.001","0.001","0.003","0","0.007","0","0","0","0","0.005","0","0.001","0","0.008","0.413","0","0.025","0","0","0.04","0.031","0.04","0.007","0.521","0.513","0.28","0.004","0","0.001","0","0","0","0.28","0.117","0","0.04","0.002","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.04","0.183","0.28","0.28","0.28","0.28","0.28","0.117","0.28","0.28","0.577","0","0","0.207","0.259","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.248","0.261","0.231","0.217","0.28","0.21","0.28","0.17"
"AZ V:5:125 (ASM)","0.809","0.078","0.25","0.052","0.515","0.875","0.483","1","0.729","0.548","0.83","0.76","0.757","0.644","0.842","0.547","0.757","0.757","0.757","0.774","0.244","0.622","0.757","0.908","0.536","0.757","0.757","0.757","0.82","0.757","0.655","0.555","0.789","0.782","0.757","0.757","0.429","0.757","0.778","0.757","0.779","0.775","0.757","0.757","0.409","0","0.258","0","0","0.452","0","0","0.008","0","0.01","0.008","0","0.127","0","0","0","0","0","0","0.118","0","0.017","0","0.238","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.378","0.014","0.757","0","0","0.466","0.412","0.749","0.757","0.757","0.022","0.099","0.049","0","0.202","0","0","0","0.572","0.379","0.486","0.797","0.841","0.757","0.584","0.838","0.747","0.697","0.476","0.719","0.006","0","0.132","0.201","0.4","0.757","0.102","0.278","0.375","0.362","0.35","0","0","0","0.184","0.021","0.003","0.081","0","0.283","0","0","0","0.013","0","0.001","0","0","0","0","0.05","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0.026","0","0","0.248","0","0.001","0","0","0","0","0","0.004","0","0.001","0.001","0.003","0","0.007","0","0","0","0","0.005","0","0.001","0","0","0.311","0","0.007","0","0","0","0.012","0","0.006","0.654","0.436","0.757","0.004","0","0.001","0","0","0","0.757","0.117","0","0","0.002","0.435","0.276","0.54","0.274","0.519","0.368","0.462","0.677","0.479","0.387","0","0.142","0.598","0.336","0.312","0.455","0.538","0.077","0.422","0.757","0.715","0","0","0.167","0.219","0.757","0.431","0.448","0.732","0.757","0.745","0.566","0.208","0.221","0.191","0.177","0.252","0.169","0.757","0.13"
"Bass Point Mound","0.69","0.081","0.262","0.055","0.518","0.764","0.518","0.729","1","0.641","0.796","0.717","0.683","0.613","0.808","0.566","0.715","0.681","0.681","0.698","0.174","0.634","0.681","0.749","0.529","0.681","0.681","0.681","0.726","0.681","0.699","0.617","0.713","0.695","0.681","0.652","0.492","0.619","0.695","0.64","0.666","0.7","0.681","0.619","0.429","0.003","0.313","0.071","0.04","0.465","0.063","0.063","0.008","0","0.01","0.033","0.011","0.189","0","0.023","0","0.084","0","0.062","0.18","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.063","0.034","0","0","0","0.063","0","0","0","0.06","0.021","0.082","0.061","0.08","0","0.029","0","0.009","0.063","0","0","0.002","0","0.063","0.008","0.042","0.063","0.401","0.077","0.619","0","0.056","0.529","0.48","0.681","0.681","0.681","0.134","0.167","0.18","0.102","0.333","0","0.069","0","0.634","0.298","0.618","0.765","0.736","0.681","0.646","0.749","0.749","0.681","0.543","0.681","0.137","0.069","0.195","0.264","0.462","0.681","0.164","0.341","0.437","0.425","0.412","0.069","0.071","0.069","0.223","0.041","0.13","0.212","0.091","0.349","0.069","0.097","0","0.113","0.069","0.002","0","0","0","0","0.181","0","0","0","0.011","0","0","0","0","0","0","0","0.008","0","0","0","0","0.095","0.069","0.069","0.317","0.007","0.004","0.011","0.003","0.008","0.003","0.018","0.015","0.003","0.012","0.018","0.006","0.003","0.019","0.007","0.008","0.008","0.003","0.017","0.003","0.005","0.008","0.011","0.249","0.012","0.025","0.069","0.069","0.122","0.1","0.063","0.076","0.639","0.325","0.681","0.007","0.004","0.004","0.003","0","0","0.681","0.117","0","0.063","0.005","0.497","0.338","0.602","0.337","0.581","0.43","0.524","0.681","0.541","0.449","0.063","0.205","0.66","0.398","0.375","0.517","0.601","0.14","0.484","0.681","0.642","0.003","0.003","0.23","0.282","0.681","0.494","0.511","0.681","0.681","0.681","0.628","0.27","0.283","0.253","0.239","0.314","0.232","0.681","0.193"
"Griffen Wash Complex","0.474","0.085","0.262","0.059","0.312","0.456","0.793","0.548","0.641","1","0.45","0.368","0.338","0.781","0.685","0.885","0.365","0.362","0.362","0.379","0.472","0.48","0.362","0.528","0.499","0.362","0.362","0.362","0.412","0.362","0.379","0.362","0.394","0.381","0.362","0.338","0.362","0.305","0.381","0.326","0.352","0.38","0.362","0.305","0.466","0.007","0.313","0.061","0.04","0.317","0.057","0.057","0.008","0","0.01","0.033","0.011","0.183","0","0.023","0","0.049","0","0.034","0.175","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.057","0.034","0","0","0","0.057","0","0","0","0.057","0.021","0.076","0.061","0.074","0","0.029","0","0.009","0.057","0","0","0.002","0","0.057","0.008","0.042","0.057","0.328","0.071","0.305","0","0.034","0.362","0.367","0.362","0.362","0.362","0.098","0.162","0.139","0.091","0.292","0","0.034","0","0.362","0.484","0.395","0.688","0.654","0.362","0.362","0.442","0.462","0.362","0.384","0.362","0.096","0.034","0.189","0.258","0.362","0.362","0.159","0.335","0.362","0.362","0.362","0.034","0.036","0.034","0.218","0.041","0.093","0.171","0.055","0.347","0.034","0.061","0","0.077","0.034","0.002","0","0","0","0","0.14","0","0","0","0.011","0","0","0","0","0","0","0","0.005","0","0","0","0","0.06","0.034","0.034","0.282","0.011","0.008","0.011","0.007","0.005","0.007","0.018","0.016","0.007","0.01","0.018","0.01","0.007","0.019","0.011","0.005","0.005","0.007","0.017","0.007","0.009","0.005","0.011","0.434","0.012","0.025","0.034","0.034","0.091","0.065","0.057","0.04","0.632","0.517","0.362","0.011","0.008","0.008","0.007","0","0","0.362","0.117","0","0.057","0.009","0.362","0.333","0.362","0.331","0.362","0.362","0.362","0.362","0.362","0.362","0.057","0.199","0.362","0.362","0.362","0.362","0.362","0.134","0.362","0.362","0.741","0.007","0.007","0.224","0.276","0.362","0.362","0.362","0.362","0.362","0.362","0.362","0.265","0.277","0.248","0.234","0.309","0.226","0.362","0.187"
