"","Buzan","Ash Terrace","Lost Mound","Dudleyville Mound","Leaverton","Camp Village","High Mesa","Bayless Ruin","Flieger","Big Bell","111 Ranch","Davis Ranch Site","Jose Solas Ruin","Armer Gulch Ruin","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Saguaro Muerto","Schoolhouse Point Mesa Complex","Tonto Cliff Dwellings","Lovelady Ranch","AZ W:11:7","WS Ranch","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 11493","LA 105878","Rudd Creek Pueblo","Slade","Greenwood","Springerville Area Site R57-59","Casa Malpais","Danson Pueblo","Hooper Ranch Pueblo","LA 3279","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","LA 8099","Hudson Ranch","LA 83287","LA 85442","LA 3262","Gila Cliff Dwellings","3-Up","Babocomari Village","Hereford","NA 5653","Aztec","Maddox Ranch","Pendleton","Animas River Ruin","Flora Vista","Red Willow II","Clanton Draw","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7059","LA 7068","LA 7072","LA 7075","LA 7077","LA 7081","LA 7095","LA 7098","LA 7183","LA 7329","LA 7434","LA 7437","LA 7438","LA 7526","LA 7547","To Dil Hil Dry Lake","LA 7582","LA 7641","LA 7704","LA 7935","LA 7938","LA 8240","LA 8476","LA 8477","Shannon Bluff-Point","Salmon II","LA 20266","LA 50078","Stewart Ranch","Hoskins","Double Adobe","Saddle Bronc","Kello Blancett","Morris' Old Fort","LA 100068","LA 100069","Kinishba","Awat'ovi","Heshoda Yala:wa","Archeotekopa II","Techado Spring","Jaralosa","Fort Site","Horse Camp Mill","Hinkson Ranch","Ojo Pueblo","Eagle Crag","Eighteen Mile Ruin","Wide Reed Ruin","Hogay Ruin","Togetzoge","Gila Pueblo","Chevelon","Dinwiddie","Hukovi","Old Shongopavi I","Lululongturqi","Pink Arrow","Hubble Corner","Owens-Colvin","Fischer site","Yuma Wash Site","Emigrant Springs","Rocky Point","Wide Ruins","Schoolhouse Point Mound","Cooper Forks Cliff Dwelling","Roundy Ruin","Shumway Ruin","Fourmile Ruin","Bailey Ruin","NA 4566","Pottery Hill--Silver Creek","Pinedale Ruin","Blue Springs Ruin","Tundastusa","Sherwood Ranch","Bean Patch","Garcia Ranch","Broken K Pueblo","Hardscrabble Ruin","Puerco Ruin","Wallace Tank Ruin","Seven Springs","Malpais Spring","Homol'ovi III","Cottonwood Creek","Homol'ovi I","Scribe S","Upper Nutria","Lower Deracho","Day Ranch","Halona:wa South","Atsinna","Cienega","Mirabal","Tinaja","North Atsinna","Yellowhouse","Big House","Naat'a'anii Bikin","Lookout Site","Pueblo de los Muertos","Jack's Lake","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","Wupatki","Many Farms","Antelope House","Three Turkey House","White House II","Salina Springs II","Boss Ranch","Old Caves","Burned Pueblo","Turkey Hill Pueblo","Tachini Point","Inscription House","Whirling Spring","Tower House","Swallow's Nest","Betatakin","Kiet Siel","Batwoman House","Twin Caves Pueblo","Nagashi Bikin","Red House","Scaffold House","Moqui Rock Pueblo","Kinlani","Double Wall Ruin","NA 5628","NA 5651","NA 5654","Hummingbird House","NA 8816","NA 8839","Fireside","Otherside","Organ Rock","Pueblo Grande","Burnt Corn GH","Porcupine Wash","Pinon Ruin","Thief Site","AZ E:6:1","Ford House","Chavez Pass Pueblo","Montezuma Well (E.Rim)","Jackson Ranch Ruin","Clear Creek Ruin","Honanki","Pollack Ruin","Zanardelli Site","Gibbon  Springs","Cherry Creek Mound","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Kimble Ranch/Glass Ranch","Curtis Ruin(Buena Vista)","Fort Grant Pueblo","Drip","Twin Towers","Juniper Terrace","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Crescent Site","Rattlesnake Mesa","Earven Flat Site","AZ CC:2:185","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","Pivanhonkyapi","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1307","LA 47508","LA 47515","LA 47561","LA 47562","LA 2347","LA 47564","LA 47565","LA 47581","LA 47591","FSOP13","FSOP15","AZ Q:4:58 (ASM)","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","Chodistaas","Veteado Pueblo"
"Buzan","1","0.779","0.865","0.417","0.684","0.725","0.601","0.527","0.605","0.288","0.633","0.559","0.5","0.021","0.356","0.017","0","0.167","0.115","0.274","0.352","0.215","0.109","0.228","0.214","0.153","0.22","0.24","0.017","0.017","0.051","0.017","0.017","0.017","0.017","0.017","0.017","0","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0","0.017","0.015","0.017","0.017","0.017","0.017","0","0.017","0.017","0.383","0.1","0.005","0","0.017","0.017","0.061","0.017","0.017","0.017","0.017","0","0","0.017","0.017","0.017","0","0.017","0","0","0.017","0","0.017","0","0.017","0.017","0","0.014","0.017","0","0.017","0.017","0.017","0.017","0","0","0.017","0.017","0","0.017","0.017","0.011","0.007","0","0.017","0.017","0.017","0.017","0.005","0.017","0.017","0","0.231","0","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0","0.017","0.017","0.179","0.481","0.018","0.047","0","0","0","0","0.017","0.425","0.15","0.234","0.017","0.017","0.017","0.118","0.114","0.009","0.024","0.034","0.076","0.104","0.026","0.338","0.033","0.104","0.017","0.017","0.017","0.017","0.017","0","0.056","0.017","0.017","0.017","0.017","0","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0","0","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.012","0","0.017","0.017","0.017","0.017","0.264","0","0","0.017","0.001","0","0","0","0","0","0","0","0","0","0.017","0","0","0","0","0","0.017","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.023","0","0.017","0.017","0","0.015","0.081","0.076","0.017","0.081","0.206","0.076","0.12","0.076","0.076","0.006","0.078","0.079","0.076","0.037","0.076","0","0","0.076","0.076","0.154","0.08","0","0.021","0.091","0.107","0.255","0.011","0.014","0","0.017","0.017","0.002","0.093","0.499","0.511","0.038","0.414","0.017","0.078","0.077","0.076","0.076","0","0","0","0.017","0","0","0.017","0.078","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0","0.017","0.003","0.017","0.017","0.016","0","0.017","0.017","0.017","0.088","0.212","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.017","0.361","0.017"
"Ash Terrace","0.779","1","0.752","0.391","0.71","0.588","0.623","0.727","0.763","0.509","0.618","0.678","0.651","0.043","0.4","0.044","0.044","0.194","0.143","0.301","0.396","0.259","0.137","0.256","0.249","0.181","0.252","0.284","0.044","0.044","0.079","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.389","0.277","0.005","0","0.044","0","0.065","0","0","0","0","0.044","0.022","0.015","0.044","0.044","0","0.044","0","0.044","0.044","0","0.038","0","0.026","0","0","0.014","0","0","0.029","0","0","0","0","0.044","0","0","0","0.027","0","0","0","0","0","0","0","0","0","0.044","0.012","0.044","0.258","0","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.014","0.044","0.044","0.044","0.179","0.438","0.045","0.047","0","0","0","0","0.044","0.295","0.113","0.237","0.044","0.044","0","0.146","0.141","0.044","0.068","0.078","0.103","0.131","0.053","0.365","0.033","0.131","0.044","0.044","0.044","0.044","0.044","0.044","0.084","0.044","0.012","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0","0.044","0.002","0","0.044","0.044","0.291","0","0","0.033","0.004","0","0","0","0","0","0","0","0","0","0.044","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.051","0","0","0.044","0","0.044","0.258","0.255","0.044","0.258","0.206","0.254","0.167","0.257","0.254","0.006","0.107","0.257","0.254","0.043","0.254","0","0","0.254","0.254","0.331","0.257","0","0.012","0.069","0.113","0.217","0.011","0.009","0","0.002","0.044","0.006","0.148","0.451","0.463","0.069","0.37","0.044","0.256","0.254","0.254","0.254","0","0","0","0.044","0.044","0","0.044","0.263","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.178","0.389","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.388","0.044"
"Lost Mound","0.865","0.752","1","0.392","0.705","0.649","0.493","0.499","0.573","0.291","0.558","0.467","0.424","0.047","0.425","0.065","0.065","0.219","0.168","0.326","0.421","0.279","0.162","0.28","0.273","0.205","0.271","0.304","0.06","0.06","0.104","0.069","0.06","0.065","0.065","0.06","0.06","0.065","0.06","0.064","0.06","0.065","0.06","0.064","0.064","0.069","0.066","0.06","0.06","0.06","0.065","0.06","0.065","0.06","0.065","0.06","0.06","0.06","0.066","0.389","0.05","0.005","0","0.06","0","0.062","0","0","0","0","0.06","0.022","0.015","0.06","0.06","0","0.06","0","0.06","0.06","0","0.038","0","0.026","0","0","0.014","0","0","0.029","0","0","0","0","0.06","0","0","0","0.027","0","0","0","0","0","0","0","0","0","0.06","0.012","0.06","0.265","0","0.06","0.064","0.065","0.06","0.064","0.063","0.06","0.06","0.018","0.064","0.061","0.06","0.183","0.438","0.062","0.047","0","0","0","0","0.06","0.539","0.097","0.216","0.064","0.06","0.004","0.171","0.161","0.065","0.093","0.103","0.128","0.152","0.078","0.39","0.042","0.156","0.064","0.06","0.06","0.065","0.06","0.064","0.103","0.064","0.012","0.064","0.06","0.06","0.06","0.06","0.06","0.064","0.064","0.062","0.06","0.061","0.064","0.064","0.06","0.06","0.06","0.064","0.063","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0","0.06","0.002","0","0.06","0.06","0.312","0","0","0.033","0.004","0","0","0","0","0","0","0","0","0","0.06","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.071","0","0","0.06","0","0.063","0.03","0.027","0.061","0.03","0.206","0.026","0.07","0.029","0.026","0.006","0.029","0.03","0.026","0.036","0.026","0","0","0.026","0.027","0.103","0.03","0","0.012","0.049","0.118","0.2","0.011","0.009","0","0.011","0.06","0.01","0.091","0.439","0.448","0.09","0.372","0.06","0.029","0.027","0.027","0.026","0","0","0","0.06","0.06","0","0.06","0.035","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.038","0.161","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.409","0.06"
"Dudleyville Mound","0.417","0.391","0.392","1","0.366","0.216","0.447","0.386","0.319","0.105","0.217","0.353","0.659","0.005","0.356","0","0","0.147","0.089","0.191","0.341","0.215","0.087","0.203","0.171","0.131","0.192","0.224","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.275","0.009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.148","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009","0.901","0.001","0","0","0","0","0","0","0.009","0.037","0.009","0","0","0","0.084","0.097","0","0.024","0.034","0.06","0.087","0.009","0.321","0.033","0.088","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007","0","0","0","0","0","0.004","0","0","0.001","0.206","0","0.044","0","0","0","0.001","0.002","0","0.003","0","0","0","0","0","0.039","0.003","0","0.005","0","0","0.147","0","0","0","0","0","0","0","0.527","0.577","0.009","0.059","0","0.002","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009","0.126","0","0","0","0","0","0","0","0","0","0.344","0"
"Leaverton","0.684","0.71","0.705","0.366","1","0.517","0.463","0.453","0.568","0.264","0.532","0.462","0.372","0.08","0.417","0.081","0.06","0.246","0.194","0.318","0.413","0.276","0.167","0.3","0.274","0.235","0.278","0.301","0.101","0.194","0.212","0.333","0.176","0.162","0.333","0.195","0.168","0.06","0.122","0.333","0.333","0.333","0.188","0.325","0.333","0.309","0.138","0.083","0.333","0.06","0.145","0.075","0.099","0.155","0.188","0.138","0.06","0.237","0.117","0.496","0.024","0.005","0","0.116","0.042","0.302","0.032","0.061","0.273","0.273","0.06","0.022","0.082","0.089","0.333","0","0.133","0","0.06","0.091","0","0.136","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.227","0.041","0","0.06","0.221","0.087","0","0.262","0.021","0.011","0.007","0","0.059","0.111","0.046","0.205","0.005","0.098","0.07","0.06","0.293","0","0.333","0.333","0.333","0.333","0.333","0.266","0.324","0.333","0.047","0.06","0.333","0.231","0.179","0.434","0.136","0.047","0","0","0","0","0.333","0.32","0.386","0.51","0.284","0.333","0.043","0.173","0.43","0.069","0.084","0.094","0.137","0.278","0.127","0.402","0.033","0.416","0.273","0.255","0.333","0.333","0.333","0.06","0.286","0.333","0.285","0.087","0.194","0.06","0.333","0.333","0.333","0.333","0.333","0.333","0.333","0.333","0.333","0.333","0.333","0.06","0.06","0.333","0.333","0.333","0.333","0.225","0.111","0.333","0.333","0.333","0.012","0.06","0.275","0.087","0.3","0.088","0.508","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.185","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.233","0","0.09","0.146","0","0.075","0.004","0.001","0.333","0.004","0.206","0","0.044","0.003","0","0","0.002","0.004","0","0.01","0","0","0","0","0","0.077","0.004","0","0.018","0.071","0.38","0.49","0","0.023","0","0.04","0.161","0.008","0.161","0.428","0.44","0.099","0.36","0.333","0.002","0","0","0","0","0","0","0.177","0.06","0","0.333","0.009","0.333","0.333","0.333","0.333","0.333","0.333","0.333","0.06","0.097","0.063","0.082","0.12","0.077","0.06","0.333","0.333","0.333","0.012","0.135","0.333","0.333","0.299","0.333","0.333","0.333","0.325","0.333","0.333","0.421","0.333"
"Camp Village","0.725","0.588","0.649","0.216","0.517","1","0.659","0.341","0.615","0.272","0.893","0.613","0.282","0.005","0.207","0","0","0.15","0.099","0.257","0.217","0.207","0.094","0.212","0.205","0.137","0.208","0.233","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.544","0.084","0.005","0","0","0","0.044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.214","0","0","0","0","0","0","0","0","0","0","0","0","0","0.179","0.263","0.001","0.047","0","0","0","0","0","0.367","0.163","0.327","0","0","0","0.102","0.097","0","0.024","0.034","0.06","0.087","0.009","0.207","0.033","0.088","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007","0","0","0","0","0","0.065","0.061","0","0.065","0.206","0.061","0.104","0.061","0.061","0.006","0.062","0.063","0.061","0.037","0.061","0","0","0.061","0.061","0.138","0.064","0","0.012","0.222","0.235","0.513","0.011","0","0","0","0","0","0.061","0.521","0.461","0.025","0.689","0","0.063","0.061","0.061","0.061","0","0","0","0","0","0","0","0.062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.072","0.196","0","0","0","0","0","0","0","0","0","0.207","0"
"High Mesa","0.601","0.623","0.493","0.447","0.463","0.659","1","0.589","0.702","0.279","0.709","0.804","0.589","0.014","0.366","0.009","0.009","0.16","0.108","0.234","0.362","0.225","0.103","0.221","0.214","0.146","0.217","0.25","0.009","0.009","0.044","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.618","0.16","0.005","0","0.009","0","0.054","0","0","0","0","0.009","0.009","0.009","0.009","0.009","0","0.009","0","0.009","0.009","0","0.009","0","0.009","0","0","0.009","0","0","0.009","0","0","0","0","0.009","0","0","0","0.009","0","0","0","0","0","0","0","0","0","0.009","0.009","0.009","0.223","0","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.026","0.464","0.01","0.047","0","0","0","0","0.009","0.036","0.163","0.236","0.009","0.009","0","0.111","0.107","0.009","0.033","0.043","0.069","0.096","0.019","0.331","0.033","0.097","0.009","0.009","0.009","0.009","0.009","0.009","0.049","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0","0.009","0.002","0","0.009","0.009","0.257","0","0","0.009","0.004","0","0","0","0","0","0","0","0","0","0.009","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0","0","0.009","0","0.009","0.141","0.137","0.009","0.141","0.206","0.137","0.167","0.139","0.137","0.006","0.107","0.14","0.137","0.043","0.137","0","0","0.137","0.137","0.214","0.14","0","0.012","0.222","0.244","0.537","0.011","0.009","0","0.002","0.009","0.006","0.113","0.752","0.692","0.035","0.466","0.009","0.138","0.137","0.137","0.137","0","0","0","0.009","0.009","0","0.009","0.145","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.148","0.272","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.354","0.009"
"Bayless Ruin","0.527","0.727","0.499","0.386","0.453","0.341","0.589","1","0.618","0.69","0.371","0.634","0.727","0.026","0.378","0.022","0.022","0.172","0.121","0.254","0.374","0.237","0.116","0.234","0.227","0.159","0.23","0.262","0.022","0.022","0.057","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.337","0.389","0.005","0","0.022","0","0.065","0","0","0","0","0.022","0.022","0.015","0.022","0.022","0","0.022","0","0.022","0.022","0","0.022","0","0.022","0","0","0.014","0","0","0.022","0","0","0","0","0.022","0","0","0","0.022","0","0","0","0","0","0","0","0","0","0.022","0.012","0.022","0.21","0","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.014","0.022","0.022","0.022","0.034","0.411","0.023","0.04","0","0","0","0","0.022","0.056","0.083","0.096","0.022","0.022","0","0.124","0.119","0.022","0.046","0.056","0.082","0.109","0.031","0.343","0.033","0.11","0.022","0.022","0.022","0.022","0.022","0.022","0.062","0.022","0.012","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0","0.022","0.002","0","0.022","0.022","0.269","0","0","0.022","0.004","0","0","0","0","0","0","0","0","0","0.022","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.029","0","0","0.022","0","0.022","0.531","0.528","0.022","0.531","0.206","0.527","0.167","0.53","0.527","0.006","0.107","0.531","0.527","0.043","0.527","0","0","0.527","0.527","0.604","0.531","0","0.012","0.04","0.062","0.187","0.011","0.009","0","0.002","0.022","0.006","0.126","0.417","0.429","0.047","0.124","0.022","0.529","0.528","0.528","0.527","0","0","0","0.022","0.022","0","0.022","0.536","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.178","0.662","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.366","0.022"
"Flieger","0.605","0.763","0.573","0.319","0.568","0.615","0.702","0.618","1","0.477","0.644","0.791","0.537","0.043","0.44","0.13","0.13","0.28","0.229","0.387","0.451","0.346","0.224","0.342","0.335","0.267","0.338","0.371","0.13","0.13","0.165","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.579","0.236","0.005","0","0.13","0","0.065","0","0","0","0","0.082","0.022","0.015","0.119","0.13","0","0.093","0","0.13","0.091","0","0.038","0","0.026","0","0","0.014","0","0","0.029","0","0","0","0","0.069","0","0","0","0.027","0","0","0","0","0","0","0","0","0","0.13","0.012","0.13","0.344","0","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.014","0.13","0.13","0.075","0.127","0.366","0.131","0.047","0","0","0","0","0.13","0.198","0.163","0.368","0.13","0.13","0","0.232","0.227","0.13","0.154","0.164","0.19","0.217","0.14","0.44","0.033","0.218","0.13","0.13","0.13","0.13","0.13","0.13","0.17","0.13","0.012","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.082","0.093","0.123","0.075","0.13","0.13","0.13","0.13","0.069","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0","0.114","0.002","0","0.13","0.065","0.378","0","0","0.033","0.004","0","0","0","0","0","0","0","0","0","0.075","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.137","0","0","0.111","0","0.06","0.216","0.213","0.13","0.216","0.206","0.212","0.167","0.215","0.212","0.006","0.107","0.216","0.212","0.043","0.212","0","0","0.212","0.212","0.289","0.216","0","0.012","0.22","0.35","0.367","0.011","0.009","0","0.002","0.13","0.006","0.234","0.53","0.542","0.156","0.397","0.13","0.214","0.213","0.213","0.212","0","0","0","0.13","0.13","0","0.101","0.221","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.178","0.347","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.44","0.13"
"Big Bell","0.288","0.509","0.291","0.105","0.264","0.272","0.279","0.69","0.477","1","0.335","0.375","0.446","0.043","0.149","0.053","0.053","0.169","0.156","0.234","0.16","0.149","0.164","0.166","0.172","0.155","0.177","0.176","0.053","0.053","0.088","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.163","0.387","0.005","0","0.053","0.011","0.068","0","0","0","0","0.053","0.022","0.015","0.053","0.053","0","0.053","0","0.053","0.053","0","0.038","0","0.026","0","0","0.014","0","0","0.029","0","0","0","0","0.053","0","0","0","0.027","0","0","0","0","0.047","0","0","0.011","0","0.053","0.012","0.053","0.16","0","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.014","0.053","0.053","0.053","0.104","0.184","0.054","0.011","0","0","0","0","0.053","0.205","0.098","0.177","0.053","0.053","0","0.172","0.149","0.053","0.077","0.087","0.113","0.14","0.063","0.149","0.033","0.141","0.053","0.053","0.053","0.053","0.053","0.053","0.093","0.053","0.012","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0","0.053","0.002","0","0.053","0.053","0.166","0","0","0.033","0.004","0","0","0","0","0","0","0","0","0","0.053","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0.047","0","0","0","0","0","0","0.06","0","0","0.053","0","0.053","0.699","0.689","0.053","0.692","0.143","0.688","0.215","0.7","0.688","0.053","0.155","0.692","0.688","0.09","0.692","0.047","0.047","0.688","0.722","0.738","0.694","0.047","0.012","0.011","0.111","0.108","0.058","0.009","0","0.002","0.053","0.006","0.157","0.14","0.119","0.126","0.212","0.053","0.69","0.689","0.689","0.688","0","0","0","0.053","0.053","0","0.053","0.698","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.178","0.803","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.053","0.149","0.053"
