"","Swingle's Sample","Bajada Site","Flieger","Adobe Hill","3-Up","Babocomari Village","Awat'ovi","Chalo:wa","Hawikku","Kechiba:wa","Togetzoge","Haby Ranch","Eagle Pass","Spear Ranch","Fischer site","Whitmer","Ormand Village","Villareal II","Dutch Ruin","Kyaki:ma","Kwa'kin'a","Brooklyn Basin","Binna:wa","Pueblo La Plata","Pueblo Grande","Los Guanacos","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","Casa Grande","Casa Buena","Curtis Ruin(Buena Vista)","AZ CC:1:3","Fort Grant Pueblo","Crescent Site","Rattlesnake Mesa","Stone Axe Ruin","Mats'a:kya Ruin","Webb Ruin","Krider Kiva Site","Rabid Ruin","Yuma Wash--Tucson","Rillito Fan"
"Swingle's Sample","1","0.983","0.943","0.983","0.844","0.225","0","0.05","0.239","0.1","0.985","0.987","0.974","0.263","0.436","0.845","0.941","0.576","0.596","0.029","0","0.488","0.031","0.591","0.983","0.983","0.863","0.983","0.983","0.983","0.993","0.983","0.502","0.542","0.803","0.963","0.87","0.532","0.012","0.975","0.764","0.988","0.969","0.993"
"Bajada Site","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"Flieger","0.943","0.927","1","0.927","0.867","0.249","0","0.05","0.239","0.1","0.929","0.954","0.955","0.293","0.493","0.902","0.955","0.599","0.596","0.029","0","0.488","0.031","0.591","0.927","0.927","0.886","0.927","0.927","0.927","0.948","0.927","0.525","0.599","0.826","0.955","0.912","0.532","0.012","0.929","0.798","0.932","0.967","0.945"
"Adobe Hill","0.983","1","0.927","1","0.837","0.208","0","0.05","0.239","0.1","0.99","0.973","0.969","0.246","0.42","0.828","0.936","0.571","0.596","0.029","0","0.488","0.031","0.591","1","1","0.846","1","1","0.994","0.976","1","0.497","0.525","0.795","0.958","0.853","0.532","0.012","0.973","0.753","0.995","0.957","0.981"
"3-Up","0.844","0.837","0.867","0.837","1","0.252","0","0.069","0.258","0.118","0.838","0.857","0.868","0.367","0.54","0.904","0.901","0.618","0.615","0.047","0.019","0.488","0.05","0.595","0.837","0.837","0.958","0.837","0.837","0.837","0.845","0.837","0.635","0.665","0.919","0.877","0.955","0.55","0.031","0.839","0.754","0.842","0.841","0.838"
"Babocomari Village","0.225","0.208","0.249","0.208","0.252","1","0","0.05","0.208","0.1","0.211","0.236","0.239","0.263","0.263","0.263","0.251","0.237","0.218","0.029","0","0.208","0.031","0.208","0.208","0.208","0.262","0.208","0.208","0.208","0.228","0.208","0.251","0.263","0.253","0.248","0.263","0.208","0.012","0.225","0.221","0.213","0.221","0.221"
"Awat'ovi","0","0","0","0","0","0","1","0.005","0.034","0.016","0","0","0","0","0","0","0","0","0","0.005","0.002","0.512","0.002","0.389","0","0","0","0","0","0","0.002","0","0","0","0","0","0","0.293","0.007","0","0","0","0","0"
"Chalo:wa","0.05","0.05","0.05","0.05","0.069","0.05","0.005","1","0.782","0.848","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.937","0.869","0.055","0.93","0.06","0.05","0.05","0.05","0.05","0.05","0.051","0.053","0.05","0.075","0.082","0.054","0.05","0.05","0.23","0.69","0.05","0.05","0.05","0.05","0.05"
"Hawikku","0.239","0.239","0.239","0.239","0.258","0.208","0.034","0.782","1","0.843","0.239","0.239","0.239","0.239","0.239","0.239","0.239","0.239","0.239","0.761","0.702","0.273","0.76","0.277","0.239","0.239","0.239","0.239","0.239","0.24","0.241","0.239","0.264","0.271","0.243","0.239","0.239","0.448","0.642","0.239","0.239","0.239","0.239","0.239"
"Kechiba:wa","0.1","0.1","0.1","0.1","0.118","0.1","0.016","0.848","0.843","1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.785","0.717","0.116","0.777","0.12","0.1","0.1","0.1","0.1","0.1","0.1","0.102","0.1","0.125","0.132","0.103","0.1","0.1","0.291","0.784","0.1","0.1","0.1","0.1","0.1"
"Togetzoge","0.985","0.99","0.929","0.99","0.838","0.211","0","0.05","0.239","0.1","1","0.975","0.969","0.248","0.422","0.83","0.936","0.571","0.597","0.029","0","0.488","0.036","0.598","0.99","0.99","0.848","0.99","0.99","0.99","0.978","0.99","0.497","0.527","0.796","0.961","0.855","0.532","0.012","0.974","0.755","0.99","0.959","0.983"
"Haby Ranch","0.987","0.973","0.954","0.973","0.857","0.236","0","0.05","0.239","0.1","0.975","1","0.987","0.273","0.447","0.856","0.955","0.589","0.596","0.029","0","0.488","0.031","0.591","0.973","0.973","0.874","0.973","0.973","0.973","0.988","0.973","0.515","0.553","0.816","0.976","0.881","0.532","0.012","0.975","0.762","0.978","0.966","0.981"
