"SWSN_ID","SWSN_Site","Macro","Micro","GKPM","GKPMPZ","Periods","EASTING","NORTHING","P1room","P2room","P3room","P4room","P5room","P6room","N0S1","P2CT","P2P1200","P2P1250","P2P1300","P2P1350","P2P1400","P7CT","P7P1200","P7P1250","P7P1300","P7P1350","P7P1400","P18CT","P18P1200","P18P1250","P18P1300","P18P1350","P18P1400"
2.00,"Swingle's Sample","San Pedro","San Pedro",0.00,1.00,3.00,521697,3646554,0.00,0.00,16.34,22.95,10.37,0.00,1,4.00,0.00,0.00,128.00,181.00,114.00,8.00,11.00,118.00,234.00,291.00,114.00,19.00,214.00,565.00,939.00,890.00,289.00
3.00,"Bajada Site","San Pedro","San Pedro",0.00,0.00,3.00,520720,3648160,0.00,0.00,29.26,41.11,18.58,0.00,1,5.00,0.00,0.00,178.00,253.00,114.00,7.00,11.00,94.00,199.00,267.00,114.00,17.00,200.00,544.00,915.00,855.00,289.00
5.00,"Buzan","San Pedro","San Pedro",1.00,1.00,2.00,529459,3630080,24.88,31.53,0.00,0.00,0.00,0.00,1,2.00,43.00,61.00,24.00,35.00,0.00,11.00,326.00,298.00,331.00,285.00,175.00,16.00,361.00,525.00,517.00,397.00,175.00
7.00,"Ash Terrace","San Pedro","San Pedro",1.00,1.00,4.00,526560,3634220,20.27,29.56,32.85,29.61,0.00,0.00,1,5.00,151.00,163.00,257.00,232.00,175.00,9.00,232.00,277.00,331.00,285.00,175.00,20.00,337.00,490.00,671.00,650.00,289.00
8.00,"Lost Mound","San Pedro","San Pedro",1.00,1.00,3.00,528000,3632500,13.88,20.16,19.35,0.00,0.00,0.00,1,3.00,49.00,67.00,71.00,32.00,0.00,11.00,326.00,298.00,331.00,285.00,175.00,20.00,361.00,525.00,645.00,578.00,289.00
9.00,"Dudleyville Mound","San Pedro","San Pedro",0.00,0.00,3.00,526250,3641700,0.00,15.14,20.48,8.98,0.00,0.00,1,2.00,11.00,38.00,56.00,38.00,0.00,8.00,117.00,224.00,289.00,293.00,233.00,19.00,337.00,416.00,565.00,576.00,289.00
10.00,"Leaverton","San Pedro","San Pedro",1.00,1.00,3.00,535500,3620400,0.00,36.00,50.32,48.47,0.00,0.00,1,1.00,0.00,74.00,106.00,74.00,0.00,2.00,24.00,109.00,130.00,74.00,0.00,19.00,675.00,587.00,641.00,433.00,175.00
11.00,"Camp Village","San Pedro","San Pedro",1.00,1.00,3.00,534890,3618140,14.67,20.61,9.31,0.00,0.00,0.00,1,1.00,24.00,35.00,24.00,0.00,0.00,3.00,82.00,183.00,236.00,148.00,0.00,16.00,561.00,438.00,405.00,215.00,0.00
12.00,"High Mesa","San Pedro","San Pedro",1.00,1.00,3.00,547650,3600800,34.97,50.77,48.74,0.00,0.00,0.00,1,1.00,74.00,106.00,74.00,0.00,0.00,2.00,74.00,135.00,114.00,29.00,0.00,10.00,416.00,525.00,427.00,161.00,0.00
13.00,"Elliott Site","San Pedro","San Pedro",0.00,1.00,2.00,555800,3577350,0.00,0.00,25.83,14.31,0.00,0.00,1,3.00,21.00,0.00,61.00,79.00,0.00,6.00,21.00,0.00,121.00,166.00,0.00,11.00,170.00,253.00,315.00,224.00,0.00
14.00,"Big Pot","San Pedro","San Pedro",0.00,0.00,1.00,530141,3626719,36.27,0.00,0.00,0.00,0.00,0.00,1,1.00,80.00,0.00,0.00,0.00,0.00,6.00,172.00,128.00,95.00,67.00,0.00,17.00,454.00,519.00,623.00,471.00,175.00
16.00,"Bayless Ruin","San Pedro","San Pedro",0.00,0.00,3.00,547726,3588556,34.97,50.77,48.74,0.00,0.00,0.00,1,1.00,74.00,106.00,74.00,0.00,0.00,6.00,149.00,253.00,226.00,103.00,0.00,13.00,244.00,388.00,429.00,253.00,0.00
19.00,"Flieger","San Pedro","San Pedro",1.00,1.00,5.00,526630,3635809,66.54,95.26,110.61,113.85,101.34,0.00,1,4.00,140.00,149.00,236.00,218.00,175.00,10.00,232.00,301.00,366.00,309.00,175.00,20.00,337.00,490.00,671.00,650.00,289.00
21.00,"Big Bell","San Pedro","San Pedro",1.00,1.00,4.00,537740,3612230,32.25,47.02,52.25,47.11,0.00,0.00,1,2.00,93.00,74.00,106.00,74.00,0.00,3.00,117.00,109.00,130.00,74.00,0.00,12.00,529.00,424.00,424.00,177.00,0.00
25.00,"111 Ranch","San Pedro","San Pedro",1.00,1.00,3.00,543056,3606691,36.96,51.92,23.46,0.00,0.00,0.00,1,1.00,74.00,106.00,74.00,0.00,0.00,2.00,109.00,106.00,74.00,0.00,0.00,14.00,524.00,528.00,483.00,235.00,0.00
27.00,"Davis Ranch Site","San Pedro","San Pedro",0.00,1.00,3.00,551548,3583218,0.00,23.98,32.42,14.22,0.00,0.00,1,2.00,0.00,43.00,93.00,45.00,0.00,5.00,95.00,149.00,188.00,66.00,0.00,12.00,170.00,282.00,355.00,253.00,0.00
